Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2010,Lao PDR,LAO,9000,9500,500,1000,1000,500,1500,100,221,3083039,16,3138887,3107387,6246274,20800,12.9,66,29,91
YR2010,Latvia,LVA,6600,6600,500,1000,1000,100,1700,100,51,1062744,11.8,1137039,960516,2097555,,23.2,4.3,85,78
YR2010,Lebanon,LBN,1500,1600,100,200,200,,,,14,1545313,19.6,2125452,2211689,4337141,,2.8,1.1,87,81
YR2010,Lesotho,LSO,250000,270000,8500,22000,19000,,,,1119,840003,26.2,1052149,988402,2040551,,11.1,59,52,65
YR2010,Liberia,LBR,40000,46000,3900,2400,1900,6100,56000,1000,293,1368863,32.3,1962744,1985381,3948125,922173,6.3,55,57,
YR2010,Libya,LBY,,,,,,,,,40,2396173,23.8,3019583,3149557,6169140,,6.1,5.8,,61
YR2010,Liechtenstein,LIE,,,,,,,,,,,,,,36003,,,,,
YR2010,Lithuania,LTU,2300,2300,200,500,500,,,,73,1501896,13.2,1671542,1425740,3097282,,33.9,7.2,77,74
YR2010,Low income,LIC,,,,,,,,,265,236701414,27.73171507,282093242,277914202,560007444,,8.200532115,38,54,82
YR2010,Luxembourg,LUX,,,100,100,100,,,100,6.6,237895,5.8,255121,251832,506953,,11.8,0.2,87,0
YR2010,"Macao SAR, China",MAC,,,,,,,,,85,332593,,279283,257686,536969,,,6.9,87,92
YR2010,"Macedonia, FYR",MKD,500,500,100,100,100,,,,21,953288,7.6,1036246,1034493,2070739,,6,1.7,89,85
YR2010,Madagascar,MDG,19000,21000,1400,2300,2000,1800,15000,500,241,10637414,31.5,10615345,10536295,21151640,202450,5.3,54,48,81
YR2010,Malawi,MWI,820000,970000,45000,59000,42000,150000,910000,17000,332,6700691,30.3,7668291,7498804,15167095,,5.3,14,43,83
