Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2011,Cambodia,KHM,74000,79000,2500,1300,1000,5300,72000,500,423,8325418,,7452628,7085258,14537886,57423,,68,62,94
YR2011,Cameroon,CMR,510000,570000,28000,35000,28000,53000,300000,7200,251,8802818,,10258448,10261999,20520447,15212,,38,46,79
YR2011,Central African Republic,CAF,120000,130000,9400,9100,7800,13000,120000,1300,402,1979873,,2267889,2208264,4476153,,,62,31,59
YR2011,Chad,TCD,95000,110000,3600,6000,4100,13000,74000,1900,151,4534713,,6141542,6147109,12288651,181126,,20,57,68
YR2011,Channel Islands,CHI,,,,,,,,,,80029,,80980,79517,160497,,,,,
YR2011,Chile,CHL,44000,44000,,3900,3800,500,6200,100,16,8237552,,8662885,8490472,17153357,,,2.7,87,71
YR2011,China,CHN,,,,,,,,,77,784390231,,652141182,691988818,1344130000,3367,,3.5,87,95
YR2011,Colombia,COL,110000,110000,5800,6800,6700,1600,58000,100,32,23282097,,23531915,22874731,46406646,64309,,2,80,73
YR2011,Comoros,COM,200,200,100,100,100,,,,34,237206,,350386,356183,706569,24856,,8.1,48,25
YR2011,"Congo, Dem. Rep.",COD,370000,430000,33000,20000,12000,57000,620000,7800,327,25591550,,33489678,33223919,66713597,4561981,,62,49,87
YR2011,"Congo, Rep.",COG,71000,77000,3500,6600,5800,5700,67000,1000,383,1831509,,2255539,2257191,4512730,37744,,37,69,71
YR2011,Costa Rica,CRI,10000,10000,200,1000,1000,100,1200,100,14,2162229,,2296505,2303969,4600474,10,,1.4,80,88
YR2011,Cote d'Ivoire,CIV,470000,510000,26000,24000,19000,42000,350000,5600,186,7906993,,10245339,10649972,20895311,29976,,27,59,76
YR2011,Croatia,HRV,1100,1100,100,100,100,,,,17,1870201,,2218757,2061865,4280622,,,1.5,87,
YR2011,Cuba,CUB,13000,13000,200,1900,1800,100,1000,100,8.2,5280307,,5667422,5687229,11354651,,,0.37,87,88
YR2011,Curacao,CUW,,,,,,,,,0.76,,,81755,69076,150831,,,0,87,0
YR2011,Cyprus,CYP,,,,,,,,,5.3,589549,,563480,561355,1124835,,,0.33,87,64
YR2011,Czech Republic,CZE,2000,2000,100,500,500,,,,6.2,5234584,,5340649,5155439,10496088,,,0.53,87,70
YR2011,Denmark,DNK,,,,,,,,,7.4,2929229,,2805171,2765401,5570572,,,0.3,87,62
YR2011,Djibouti,DJI,8600,9600,1000,1000,500,1000,7000,200,547,293044,,430997,434940,865937,,,53,80,82
YR2011,Dominica,DMA,,,,,,,,,3.2,,,,,71718,,,4.3,87,100
YR2011,Dominican Republic,DOM,71000,74000,4100,2700,2600,2800,54000,100,65,4495580,,5023735,5003360,10027095,1616,,5.9,67,83
YR2011,Ecuador,ECU,26000,27000,1000,,,1000,13000,100,59,6821532,,7584942,7592413,15177355,1219,,4.4,57,73
YR2011,El Salvador,SLV,23000,23000,1000,1300,1200,1000,9800,100,34,2634493,,3265001,2927559,6192560,9,,1.3,91,93
YR2011,Equatorial Guinea,GNQ,26000,28000,1200,2700,2200,2200,9700,500,136,502252,,452205,542085,994290,22466,,7.5,86,
YR2011,Eritrea,ERI,14000,16000,1000,500,500,2200,16000,200,105,2178508,,2234867,2239823,4474690,34848,,16,61,76
YR2011,Estonia,EST,,,,,,,,,25,699275,,708776,618663,1327439,,,3.5,87,64
YR2011,Ethiopia,ETH,610000,710000,32000,24000,17000,100000,820000,7100,253,42150527,,45105286,44941470,90046756,1480306,,34,69,89
YR2011,European Union,EUU,,,,,,,,,,243289202,,257481857,246530225,504012082,,,,,
YR2011,Fiji,FJI,500,500,100,,,,,,31,337343,,424734,442352,867086,,,3.7,80,91
YR2011,Finland,FIN,,,,,,,,,6.7,2711842,,2742499,2645773,5388272,,,1.1,87,40
YR2011,France,FRA,160000,160000,1000,6100,6100,500,7700,100,8.7,29693735,,33267161,32075615,65342776,,,1,86,
YR2011,French Polynesia,PYF,,,,,,,,,27,112690,,131899,137944,269843,,,2.2,87,86
YR2011,Gabon,GAB,45000,49000,2900,2500,1800,4400,28000,1000,453,514352,,828981,868120,1697101,,,67,62,48
YR2011,"Gambia, The",GMB,18000,20000,1000,1500,1300,1500,13000,500,176,727604,,881602,864761,1746363,261967,,19,75,88
YR2011,Georgia,GEO,7800,7900,500,1100,1100,100,1000,100,122,2100898,,2032045,1842955,3875000,0,,6.4,89,81
YR2011,Germany,DEU,,,,,,,,,5.8,41665603,,40896135,39378848,80274983,,,0.44,87,73
YR2011,Ghana,GHA,260000,290000,22000,17000,12000,38000,350000,4500,178,11331411,,12683468,12438328,25121796,1041260,,39,35,85
YR2011,Gibraltar,GIB,,,,,,,,,,,,,,33405,,,,,
YR2011,Greece,GRC,,,,,,,,,4.7,5001986,,5633479,5471420,11104899,,,0.67,87,
YR2011,Greenland,GRL,,,,,,,,,234,,,,,56890,,,19,87,
YR2011,Grenada,GRD,,,,,,,,,2.2,,,52532,52543,105075,,,0.97,87,100
YR2011,Guam,GUM,,,,,,,,,59,73178,,78582,81096,159678,,,4.8,87,88
YR2011,Guatemala,GTM,38000,39000,1000,2500,2300,1300,8000,500,25,5646356,,7603779,7345140,14948919,6817,,2.2,80,85
YR2011,Guinea,GIN,100000,110000,5000,8700,7000,11000,70000,1600,183,4640410,,5513181,5521989,11035170,95574,,29,55,84
YR2011,Guinea-Bissau,GNB,37000,41000,2400,2200,1500,4500,21000,1000,376,666956,,813185,782969,1596154,71982,,66,33,69
YR2011,Guyana,GUY,6600,6900,200,500,500,500,1100,100,117,305130,,374094,375006,749100,29506,,17,80,65
YR2011,Haiti,HTI,130000,140000,6400,10000,9000,9400,96000,1100,220,4282683,,5129341,5015713,10145054,32969,,28,68,82
YR2011,Honduras,HND,22000,23000,1300,1000,1000,1200,29000,100,52,3451864,,4189937,4161663,8351600,7465,,1.2,82,88
YR2011,Hungary,HUN,,,,,,,,,15,4326628,,5239172,4732555,9971727,,,1.3,87,76
YR2011,Iceland,ISL,,,,,,,,,2.9,186554,,158360,160654,319014,,,2.4,87,89
YR2011,India,IND,2000000,2100000,100000,99000,82000,,,,241,473683611,,600355301,646880728,1247236029,1310656,,39,44,89
YR2011,Indonesia,IDN,530000,540000,26000,60000,57000,9000,88000,2600,410,119044361,,121803025,123904486,245707511,422447,,43,32,88
YR2011,"Iran, Islamic Rep.",IRN,63000,64000,3600,5600,5500,1000,17000,200,18,25096527,,37367821,38123761,75491582,1632,,2,80,84
YR2011,Iraq,IRQ,,,,,,,,,45,7791861,,15688080,16038973,31727053,0,,2.5,62,90
YR2011,Ireland,IRL,5400,5400,,500,500,100,1000,100,9.6,2192517,,2298712,2278082,4576794,,,0.63,87,61
YR2011,Isle of Man,IMN,,,,,,,,,,,,,,80759,,,,,
YR2011,Israel,ISR,,,,,,,,,6.3,3546403,,3927384,3838416,7765800,,,0.29,87,78
YR2011,Italy,ITA,130000,130000,,3800,3700,500,13000,100,6.6,24449018,,30531102,28848347,59379449,,,0.65,87,
YR2011,Jamaica,JAM,29000,29000,1400,,,1000,16000,100,4.8,1309833,,1423553,1405940,2829493,9,,0.26,80,44
YR2011,Japan,JPN,,,,,,,,,20,65586043,,65322287,62510713,127833000,,,2.9,87,55
YR2011,Jordan,JOR,500,500,100,100,100,,,,6.1,1999376,,3719036,3855907,7574943,,,0.3,80,90
YR2011,Kazakhstan,KAZ,16000,16000,1000,2400,2300,500,3200,100,135,8844623,,8549120,8007480,16556600,,,11,110,76
YR2011,Kenya,KEN,1300000,1500000,57000,77000,65000,170000,1300000,12000,285,16083882,,21367666,21119173,42486839,1002805,,17,82,87
YR2011,Kiribati,KIR,,,,,,,,,410,,,53133,51523,104656,,,20,80,91
YR2011,"Korea, Dem. People’s Rep.",PRK,,,,,,,,,464,15341900,,12639905,12082393,24722298,16760,,51,80,92
YR2011,"Korea, Rep.",KOR,,,,,,,,,100,25493936,,24921589,25015049,49936638,505,,6,94,81
YR2011,Kosovo,XKX,,,,,,,,,,,,,,1791000,,,,,
YR2011,Kuwait,KWT,500,500,100,100,100,,,,24,1677274,,1350547,1840504,3191051,,,0.63,87,87
YR2011,Kyrgyz Republic,KGZ,5700,5800,500,1000,1000,100,1200,100,141,2502079,,2788474,2726126,5514600,0,,12,77,84
YR2011,Lao PDR,LAO,9500,9900,500,1000,1000,500,1700,100,213,3149202,,3181033,3152454,6333487,17835,,61,32,90
YR2011,Latvia,LVA,6600,6600,500,500,500,100,1700,100,50,1037180,,1116302,943407,2059709,,,3.9,84,77
YR2011,Lebanon,LBN,1600,1700,100,200,200,,,,12,1637891,,2255349,2333019,4588368,,,0.82,87,78
YR2011,Lesotho,LSO,260000,280000,8100,21000,20000,,,,1054,856339,,1064073,1000093,2064166,,,56,54,69
YR2011,Liberia,LBR,39000,45000,3500,2500,2000,5700,55000,500,299,1412456,,2022344,2047823,4070167,1915762,,46,65,87
YR2011,Libya,LBY,,,,,,,,,40,2381939,,3038911,3154590,6193501,,,6.9,60,59
YR2011,Liechtenstein,LIE,,,,,,,,,,,,,,36264,,,,,
YR2011,Lithuania,LTU,2400,2400,200,500,500,,,,70,1490329,,1635130,1392985,3028115,,,7.1,81,78
YR2011,Low income,LIC,,,,,,,,,257,243230051,,289879336,285693179,575572515,,,38,54,85
YR2011,Luxembourg,LUX,,,100,100,100,,,100,5.5,243432,,260301,258046,518347,,,0.4,87,
YR2011,"Macao SAR, China",MAC,,,,,,,,,80,343039,,285596,263843,549439,,,6.5,87,90
YR2011,"Macedonia, FYR",MKD,500,500,100,100,100,,,,18,954126,,1036955,1035428,2072383,,,1.5,89,89
YR2011,Madagascar,MDG,20000,22000,1400,2500,2300,1800,16000,500,238,10864530,,10911018,10832931,21743949,224498,,51,50,83
YR2011,Malawi,MWI,840000,980000,41000,54000,41000,140000,880000,13000,312,6902532,,7898445,7729173,15627618,304499,,16,41,83
YR2011,Malaysia,MYS,110000,110000,8500,8200,8200,500,94000,100,80,12680325,,13864137,14770991,28635128,3954,,6.9,87,76
YR2011,Maldives,MDV,,,,,,,,,32,187625,,168945,208055,377000,,,3.3,80,87
YR2011,Mali,MLI,100000,110000,5200,6300,4600,14000,90000,1700,62,5354185,,7774713,7766276,15540989,307035,,11,56,69
YR2011,Malta,MLT,500,500,100,,,,,,8.3,176654,,208785,207483,416268,,,0.73,87,69
YR2011,Marshall Islands,MHL,,,,,,,,,331,,,,,52542,,,36,80,83
YR2011,Mauritania,MRT,13000,13000,1000,,,1000,11000,200,128,1033711,,1849830,1867842,3717672,2926,,31,38,70
YR2011,Mauritius,MUS,,,,,,,,,21,571678,,631622,620782,1252404,,,1.5,43,90
YR2011,Mexico,MEX,190000,190000,5700,12000,12000,2500,69000,500,21,51525632,,59814705,59275312,119090017,1124,,2.2,80,82
YR2011,Middle East & North Africa,MEA,,,,,,,,,35,133854091,,191861906,204711342,396573248,,,3.1,77,84
YR2011,Moldova,MDA,11000,11000,500,1400,1300,200,1700,100,162,1262406,,1847936,1712050,3559986,,,13,64,73
YR2011,Monaco,MCO,,,,,,,,,2.3,,,,,37497,,,0.19,,
YR2011,Mongolia,MNG,500,500,100,100,100,,,,428,1246967,,1391988,1369528,2761516,,,21,36,90
YR2011,Montenegro,MNE,500,500,100,100,100,,,,20,244897,,314411,305668,620079,,,0.18,87,86
YR2011,Morocco,MAR,19000,20000,1000,1600,1500,500,4700,100,101,11763124,,16657128,16201695,32858823,0,,8.1,87,81
YR2011,Mozambique,MOZ,1500000,1800000,82000,150000,110000,220000,1100000,32000,548,10904472,,12817824,12121181,24939005,1756874,,65,33,
YR2011,Myanmar,MMR,220000,230000,15000,14000,13000,9200,130000,1200,380,27938291,,25880018,24673013,50553031,465294,,53,69,88
YR2011,Namibia,NAM,190000,210000,4200,11000,9900,17000,86000,1400,603,822226,,1142279,1073342,2215621,1860,,32,80,86
YR2011,Nauru,NRU,,,,,,,,,57,,,,,10057,,,4.7,87,
YR2011,Nepal,NPL,36000,37000,2400,2000,1800,1400,27000,200,162,14530859,,14027046,13300101,27327147,3414,,17,80,91
YR2011,Netherlands,NLD,21000,21000,200,1000,1000,100,1100,100,6.7,8863386,,8401919,8291155,16693074,,,0.22,87,84
YR2011,New Caledonia,NCL,,,,,,,,,24,109497,,125155,128845,254000,,,2,87,35
YR2011,New Zealand,NZL,,,,,,,,,8,2369253,,2230475,2153525,4384000,,,0.34,87,64
YR2011,Nicaragua,NIC,8700,9000,1000,500,500,500,7600,100,58,2493017,,2946579,2861241,5807820,925,,3.8,80,86
YR2011,Niger,NER,49000,56000,3900,2100,1400,6900,75000,1000,109,5512624,,8531303,8533333,17064636,780876,,20,57,80
YR2011,Nigeria,NGA,2800000,3100000,210000,230000,180000,290000,2600000,43000,339,50779043,,80473208,82403868,162877076,,,93,16,85
YR2011,North America,NAC,,,,,,,,,4,176367928,,174985421,171020717,346070702,,,0.2,87,78
YR2011,Norway,NOR,,,,,,,,,7.4,2636032,,2473134,2479954,4953088,,,0.6,87,88
YR2011,Oman,OMN,,,,,,,,,12,1523114,,1250908,1986360,3237268,0,,0.75,87,98
YR2011,Pakistan,PAK,75000,77000,1900,14000,13000,1400,5300,1000,276,60463129,,84661523,89522742,174184265,334589,,30,55,92
YR2011,Palau,PLW,,,,,,,,,67,,,,,20599,,,5.5,87,63
YR2011,Panama,PAN,17000,17000,1000,1200,1200,,,,55,1673460,,1845891,1861891,3707782,354,,5,80,81
YR2011,Papua New Guinea,PNG,37000,41000,1700,2700,2200,3200,15000,500,432,3210905,,3572147,3697201,7269348,84060,,86,49,69
YR2011,Paraguay,PRY,16000,16000,500,1300,1200,500,5500,100,43,2994723,,3100121,3193662,6293783,1,,4.4,87,71
YR2011,Peru,PER,67000,69000,2300,,,1800,50000,200,131,15754996,,14891720,14868269,29759989,25039,,7.3,80,74
YR2011,Philippines,PHL,20000,20000,500,4600,4500,500,1000,100,322,41415562,,47182030,48095910,95277940,9552,,26,64,87
YR2011,Poland,POL,,,,,,,,,24,18122025,,19663791,18399464,38063255,,,1.8,87,62
YR2011,Portugal,PRT,,,,,,,,,27,5426060,,5515281,5042279,10557560,,,2.2,87,77
YR2011,Puerto Rico,PRI,,,,,,,,,1.6,1253117,,1910619,1768113,3678732,,,0.33,87,72
YR2011,Qatar,QAT,100,100,100,100,100,,,,33,1455422,,467061,1484993,1952054,,,0.3,87,70
YR2011,Romania,ROU,14000,14000,200,1000,1000,100,1100,100,97,9263432,,10370869,9776659,20147528,,,6.5,87,86
YR2011,Russian Federation,RUS,,,,,,,,,91,76948434,,76657531,66303337,142960868,0,,15,87,65
YR2011,Rwanda,RWA,190000,210000,4600,8800,7900,22000,120000,1000,82,5226395,,5365672,5150399,10516071,208858,,7.3,76,84
YR2011,Samoa,WSM,,,,,,,,,12,47860,,90888,96777,187665,,,1,87,83
YR2011,San Marino,SMR,,,,,,,,,2.5,,,,,31504,,,0,,
YR2011,Sao Tome and Principe,STP,,,,,,,,,94,59996,,89819,88981,178800,8442,,8.3,82,69
YR2011,Saudi Arabia,SAU,6900,7100,200,500,500,200,1200,100,16,10637428,,12355754,15882266,28238020,69,,2.8,87,61
YR2011,Senegal,SEN,40000,45000,1700,1600,1000,5100,25000,1000,136,4264353,,6787010,6513900,13300910,277326,,23,61,83
YR2011,Serbia,SRB,1900,2000,100,200,200,,,,28,3029700,,3696180,3537919,7234099,,,1.7,87,86
YR2011,Seychelles,SYC,,,,,,,,,26,,,42511,44930,87441,,,1.1,87,48
YR2011,Sierra Leone,SLE,54000,58000,2600,,,4200,20000,1000,316,2470484,,3345050,3266642,6611692,638859,,45,68,87
YR2011,Singapore,SGP,,,,,,,,,36,2904346,,2626460,2557228,5183688,,,1.7,87,83
YR2011,Slovak Republic,SVK,1000,1000,100,100,100,,,,8,2695225,,2778938,2619446,5398384,,,0.49,87,93
YR2011,Slovenia,SVN,1000,1000,100,100,100,,,,10,1022686,,1035981,1016862,2052843,,,1.1,87,81
YR2011,Small states,SST,,,,,,,,,,15873401,,17353743,18571006,36173803,,,,,
YR2011,Solomon Islands,SLB,,,,,,,,,93,216345,,265510,274104,539614,26657,,10,80,91
YR2011,Somalia,SOM,23000,26000,1900,2000,1600,2600,25000,500,286,3512210,,6215311,6189414,12404725,1724,,73,42,86
YR2011,South Africa,ZAF,5900000,6200000,190000,350000,330000,380000,2100000,25000,922,18492372,,26327129,25402217,51729345.36,9866,,52,75,77
YR2011,South Asia,SAS,,,,,,,,,238,631045967,,800578042,853178424,1653756466,,,39,46,90
YR2011,South Sudan,SSD,170000,190000,14000,16000,13000,17000,110000,2800,146,,,5223873,5224984,10448857,112024,,30,47,69
YR2011,Spain,ESP,130000,130000,,4300,4300,100,11000,100,16,23625452,,23656308,23086389,46742697,,,0.63,87,72
YR2011,Sri Lanka,LKA,2100,2100,100,500,500,,,,66,8239375,,10430026,9840974,20271000,124,,4.7,76,88
YR2011,St. Kitts and Nevis,KNA,,,,,,,,,2.2,,,,,52006,,,2.4,87,100
YR2011,St. Lucia,LCA,,,,,,,,,8.6,92631,,88528,85304,173832,,,0.69,45,57
YR2011,St. Martin (French part),MAF,,,,,,,,,,,,,,30615,,,,,
YR2011,St. Vincent and the Grenadines,VCT,,,,,,,,,18,54009,,54137,55204,109341,,,4.8,87,41
YR2011,Sudan,SDN,44000,46000,2000,5100,4600,2200,16000,1000,105,9633955,,17627391,17539923,35167314,506806,,23,50,68
YR2011,Swaziland,SWZ,170000,190000,5300,12000,11000,18000,93000,1500,1157,375052,,631072,594186,1225258,189,,50,59,72
YR2011,Sweden,SWE,8700,8700,200,1000,1000,100,1500,100,6.5,5038028,,4738924,4710289,9449213,,,0.5,87,87
YR2011,Switzerland,CHE,,,,,,,,,7.6,4581654,,4012164,3900234,7912398,,,0.31,87,
YR2011,Syrian Arab Republic,SYR,,,,,,,,,22,5669584,,10337619,10526374,20863993,0,,0.13,80,84
YR2011,Tajikistan,TJK,11000,11000,1000,1300,1200,500,3500,100,117,3399843,,3878014,3937935,7815949,65,,3.9,78,87
YR2011,Tanzania,TZA,1200000,1300000,63000,67000,57000,150000,1400000,9900,401,21668451,,24089109,23481793,47570902,2150761,,76,31,88
YR2011,Thailand,THA,490000,500000,21000,12000,12000,9400,290000,200,176,40167490,,34459009,33071121,67530130,24897,,11,56,82
YR2011,Timor-Leste,TLS,,,,,,,,,498,251906,,556871,574652,1131523,19739,,51,82,91
YR2011,Togo,TGO,95000,110000,6700,4800,3100,15000,100000,1700,73,3100455,,3353558,3325724,6679282,519450,,10,60,85
YR2011,Tonga,TON,,,,,,,,,9.9,41814,,52197,52380,104577,,,0.81,87,100
YR2011,Trinidad and Tobago,TTO,10000,10000,500,500,500,200,2300,100,19,673684,,674502,660286,1334788,,,1.5,87,69
YR2011,Tunisia,TUN,1800,1800,100,500,500,,,,35,3889216,,5429621,5331846,10761467,,,2.3,80,78
YR2011,Turkey,TUR,,,,,,,,,24,26647250,,37316008,36093447,73409455,0,,1.3,87,90
YR2011,Turkmenistan,TKM,,,,,,,,,92,2226856,,2628440,2545621,5174061,,,14,58,87
YR2011,Turks and Caicos Islands,TCA,,,,,,,,,33,,,,,31731,,,0,87,20
YR2011,Tuvalu,TUV,,,,,,,,,140,,,,,10628,,,12,87,83
YR2011,Uganda,UGA,1100000,1300000,57000,94000,71000,190000,1400000,23000,207,14942778,,17660958,17432690,35093648,231873,,14,65,73
YR2011,Ukraine,UKR,200000,210000,11000,17000,16000,3300,41000,500,105,22973097,,24613570,21092530,45706100,,,16,72,67
YR2011,United Arab Emirates,ARE,,,,,,,,,2.2,6056235,,2211378,6461097,8672475,,,0.54,54,69
YR2011,United Kingdom,GBR,,,,,,,,,15,32346398,,32162192,31096726,63258918,,,0.53,89,79
YR2011,United States,USA,1000000,,,,41000,,,,3.9,157300455,,157681176,153982182,311663358,,,0.19,87,80
YR2011,Upper middle income,UMC,,,,,,,,,90,1303293204,,1230862102,1251826256,2482888622,,,5.8,81,85
YR2011,Uruguay,URY,11000,12000,1000,,,200,3300,100,28,1739458,,1752937,1632687,3385624,,,1.4,87,84
YR2011,Uzbekistan,UZB,,,,,,,,,93,12700436,,14741757,14597643,29339400,0,,13,59,85
YR2011,Vanuatu,VUT,,,,,,,,,67,106511,,119162,122709,241871,4820,,11,68,82
YR2011,"Venezuela, RB",VEN,99000,100000,1900,7000,6600,2400,19000,500,27,13475826,,14763532,14699759,29463291,45824,,2,80,80
YR2011,Vietnam,VNM,230000,240000,9000,16000,16000,4900,85000,1000,151,52002529,,44459186,43401114,87860300,16612,,21,73,93
YR2011,West Bank and Gaza,PSE,,,,,,,,,0.96,969070,,1935407,1991644,3927051,,,0.05,80,100
YR2011,World,WLD,31100000,33700000,1400000,2100000,1800000,2600000,19500000,270000,153,3235093079,,3475366140,3534706337,7012843635,,,20,55,87
YR2011,"Yemen, Rep.",YEM,6500,6800,500,1000,1000,500,3800,100,50,6811078,,11997299,12254907,24252206,90410,,7,72,89
YR2011,Zambia,ZMB,940000,1000000,27000,68000,57000,110000,640000,11000,475,5735186,,7193161,7071595,14264756,,,30,64,88
YR2011,Zimbabwe,ZWE,1200000,1300000,47000,66000,58000,,,,384,6952012,,7383078,7003571,14386649,319935,,14,70,80
YR2011,Latin America & Caribbean,LCN,,,,,,,,,43,285380625,,304816340,298414285,603534610,,,3.2,80,75
YR2012,Afghanistan,AFG,5200,5300,500,1000,1000,200,3500,100,189,8458402,,14912657,15784301,30696958,54840,,42,51,88
YR2012,Albania,ALB,1000,1000,100,200,200,,,,16,1202142,,1441287,1459114,2900401,,,0.18,89,92
YR2012,Algeria,DZA,10000,10000,500,1000,1000,500,2100,100,73,11571668,,18604407,18961440,37565847,55,,8,80,90
YR2012,American Samoa,ASM,,,,,,,,,6.7,,,,,55230,,,0.55,,
YR2012,Andorra,AND,,,,,,,,,13,,,,,82431,,,1.1,87,100
YR2012,Angola,AGO,210000,240000,11000,26000,22000,21000,110000,4300,380,9020219,,12809782,12286368,25096150,1496834,,51,60,45
YR2012,Antigua and Barbuda,ATG,,,,,,,,,3.9,,,50387,46390,96777,,,1.4,87,50
YR2012,Arab World,ARB,,,,,,,,,,122745301,,180343747,192963246,373306993,,,,,
YR2012,Argentina,ARG,100000,110000,2200,5300,5300,1400,19000,100,24,18887510,,21503827,20592912,42096739,0,,1.5,87,56
YR2012,Armenia,ARM,3100,3100,200,500,500,,,,53,1455333,,1532013,1349909,2881922,,,6,76,81
YR2012,Aruba,ABW,,,,,,,,,31,,,53701,48876,102577,,,2.6,87,
YR2012,Australia,AUS,22000,22000,1000,1100,1100,100,2800,100,6.6,12023138,,11375255,11352999,22728254,,,0.15,87,82
YR2012,Austria,AUT,,,,,,,,,8.4,4398901,,4314492,4115499,8429991,,,0.5,87,69
YR2012,Azerbaijan,AZE,6900,7000,500,1000,1000,100,1300,100,95,4627589,,4681041,4614743,9295784,3,,0.71,72,83
YR2012,"Bahamas, The",BHS,7300,7400,,,,,,,9.9,215934,,190065,181974,372039,,,0.27,87,84
YR2012,Bahrain,BHR,500,500,100,100,100,,,,19,723905,,493539,806678,1300217,,,0.39,87,44
YR2012,Bangladesh,BGD,10000,10000,1000,1300,1300,500,5800,100,225,66746410,,77081980,78645073,155727053,9901,,53,48,92
YR2012,Barbados,BRB,2300,2400,100,200,200,,,,1.6,151586,,146537,135048,281585,,,0.36,87,100
YR2012,Belarus,BLR,12000,12000,200,2000,2000,100,500,100,64,4863541,,5065091,4399404,9464495,,,7.9,78,85
YR2012,Belgium,BEL,,,,,,,,,9.4,4920388,,5664069,5464177,11128246,,,0.53,87,77
YR2012,Belize,BLZ,3700,3800,200,500,500,200,1000,100,29,151973,,168537,168164,336701,33,,2.1,87,55
YR2012,Benin,BEN,56000,63000,2400,4200,3200,7100,47000,1000,66,3927312,,4890851,4838309,9729160,705839,,10,60,90
YR2012,Bermuda,BMU,,,,,,,,,5.5,,,,,64798,,,0,87,100
YR2012,Bhutan,BTN,,,,,,,,,190,350616,,353194,399773,752967,0,,19,80,92
YR2012,Bolivia,BOL,18000,19000,1200,1000,1000,1000,11000,100,127,4908948,,5109148,5129856,10239004,7415,,3.4,64,84
YR2012,Botswana,BWA,320000,330000,5100,13000,12000,18000,97000,1000,445,1087484,,1056500,1032815,2089315,193,,25,72,76
YR2012,Brazil,BRA,690000,710000,14000,47000,46000,13000,120000,1100,43,102939910,,101839635,98721348,200560983,242758,,2.7,87,72
YR2012,British Virgin Islands,VGB,,,,,,,,,0,,,,,28509,,,0,,
YR2012,Brunei Darussalam,BRN,,,,,,,,,69,194864,,193321,206427,399748,,,4.1,87,71
YR2012,Bulgaria,BGR,3300,3300,200,,,,,,32,3353034,,3750088,3555800,7305888,,,2.4,90,87
YR2012,Burkina Faso,BFA,83000,98000,4100,3800,2700,15000,110000,1100,55,7466545,,8339503,8231713,16571216,3858046,,9.6,57,80
YR2012,Burundi,BDI,75000,89000,4800,3900,2500,15000,120000,1500,133,4314842,,4742063,4577647,9319710,2151076,,24,51,89
YR2012,Cabo Verde,CPV,2400,2500,200,,,200,1500,100,144,232111,,258117,255862,513979,1,,3.8,58,86
YR2012,Cambodia,KHM,73000,78000,2500,1200,1000,5100,67000,500,411,8191705,,7573042,7203824,14776866,40476,,64,66,94
YR2012,Cameroon,CMR,520000,570000,28000,34000,28000,53000,300000,6700,242,9056829,,10538239,10544144,21082383,,,36,47,79
YR2012,Central African Republic,CAF,120000,130000,9400,9300,8100,12000,120000,1200,378,1974923,,2275215,2215201,4490416,46759,,48,46,68
YR2012,Chad,TCD,96000,110000,4000,5900,4100,13000,72000,1700,151,4702446,,6348698,6356437,12705135,7710,,21,55,69
YR2012,Channel Islands,CHI,,,,,,,,,,80656,,81383,79975,161358,,,,,
YR2012,Chile,CHL,47000,47000,,4100,4000,500,6300,100,16,8344377,,8740856,8568890,17309746,,,2.8,87,44
YR2012,China,CHN,,,,,,,,,76,789130421,,655175831,695519169,1350695000,244,,3.3,87,95
YR2012,Colombia,COL,110000,110000,4600,6500,6400,1400,57000,100,32,23858717,,23779764,23101711,46881475,60179,,2.1,80,72
YR2012,Comoros,COM,200,200,100,100,100,,,,34,244430,,358917,364951,723868,49840,,7.9,48,87
YR2012,"Congo, Dem. Rep.",COD,360000,420000,32000,19000,11000,56000,610000,7400,327,26389430,,34614552,34364130,68978682,4791598,,64,47,88
YR2012,"Congo, Rep.",COG,74000,80000,3300,6700,5800,5700,64000,1000,382,1874224,,2315738,2317625,4633363,120319,,37,69,70
YR2012,Costa Rica,CRI,11000,11000,200,1000,1000,100,1100,100,13,2182008,,2323842,2330280,4654122,6,,1.2,80,86
YR2012,Cote d'Ivoire,CIV,460000,500000,29000,24000,18000,42000,340000,6000,178,8128729,,10513553,10905050,21418603,1140627,,23,63,79
YR2012,Croatia,HRV,1200,1200,100,100,100,,,,14,1856946,,2211913,2055645,4267558,,,1.4,87,9
YR2012,Cuba,CUB,15000,15000,200,2100,2100,100,1000,100,7.4,5301660,,5682663,5699483,11382146,,,0.37,87,85
YR2012,Curacao,CUW,,,,,,,,,0.75,,,82508,69580,152088,,,0,87,0
YR2012,Cyprus,CYP,,,,,,,,,6.4,594353,,568316,566746,1135062,,,0.43,87,43
YR2012,Czech Republic,CZE,2200,2200,100,500,500,,,,6.2,5270692,,5346447,5164338,10510785,,,0.29,87,75
