ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,,,,,,,,,1,0,,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,701,-4,8,4,927,-18,0,0,0,0,134,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,2057,87,74,4,26,136,136,1,0,0,131,1,1073
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,1458,28,7,3,1720,10,10,0,0,0,132,1,1011
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,1149,-1,6,5,1415,-10,0,0,0,0,135,1,1011
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,,,,,,,,,1,0,,1,1011
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,,,,,,,,,1,0,,1,971
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,830,0,8,5,1043,-12,0,0,0,0,120,1,971
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,1849,69,7,5,2059,54,54,1,0,0,118,1,971
13204,1320402,31454,14576,1457604,34576,ROC,"Rochester, NY",NY,1047,12,8,5,1312,-3,0,0,0,0,132,1,1033
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,728,-2,14,4,958,-12,0,0,0,0,132,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1438,8,20,5,1717,7,7,0,0,0,134,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,2026,-4,11,6,151,,,,0,1,,1,1073
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,1953,-7,9,4,2221,-14,0,0,0,0,135,1,1011
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,1412,-3,18,5,1643,-12,0,0,0,0,128,1,1011
13204,1320402,31454,10792,1079204,30792,BUF,"Buffalo, NY",NY,1144,-1,8,4,1402,-18,0,0,0,0,126,1,1011
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,1932,72,19,5,2215,90,90,1,0,0,139,1,971
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,818,-2,9,4,1032,-13,0,0,0,0,121,1,971
13204,1320402,31454,12391,1239102,31703,ISP,"Islip, NY",NY,2205,20,9,7,33,23,23,1,0,0,132,1,971
13204,1320402,31454,14576,1457604,34576,ROC,"Rochester, NY",NY,711,-4,10,4,926,-29,0,0,0,0,121,1,1033
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1040,-3,20,7,1311,-5,0,0,0,0,124,1,944
